#,System,Architecture,# of Agents,# of roles,Environment,Corpus,Input,Output,Communication,HIM,MuMe Task,Evaluation,Code,Public,Section
1,VMMAS,knowledge representation,Multi-agent/Heterogenous,Multi-role,Real-world,Symbolic,Symbolic,Symbolic,Env.,P,"Comp., Accomp.",?,Not shared,,4.1
2,Inmamusys,knowledge representation,Multi-agent/Heterogenous,Multi-role,Real-world,Symbolic,Symbolic,Symbolic,Mess.,C,"Comp., Accomp.",?,Not shared,,4.1
3,Generating Affect,knowledge representation,Multi-agent/Heterogenous,Multi-role,Real-world,Hybrid,None,Audio,Mess.,-,Comp.,,Shared,?,4.1
4,Coming Together,BDI,Multi-agent/Heterogenous,Single-role,Real-world,-,Symbolic,Hybrid,Hybrid,-,Comp.,,Shared,?,4.2
5,Indifference Engine,BDI,Multi-agent/Heterogenous,Single-role,Hybrid,-,Audio,Audio,Hybrid,P,"Improv., Comp.",,Not shared,?,4.2
6,MUSIC-MAS,BDI,Multi-agent/Heterogenous,Multi-role,Real-world,Symbolic,Symbolic,Symbolic,Hybrid,C,"Assisted Comp., ",?,Not shared,,4.2
7,HSMM,Cognitive,Mono-agent,Single-role,Real-world,Symbolic,Symbolic,Symbolic,Env.,P+C+L,"Comp., Assisted Comp.„ Cont.",,Not shared,?,4.3
8,MusiCOG,Cognitive,Multi-agent/Heterogenous,,Real-world,Symbolic,Symbolic,Symbolic,Env.,P+L,"Comp., Assisted Comp.",,Shared,?,4.3
9,MAMA,Cognitive,Multi-agent/Heterogenous,Single-role,Real-world,Hybrid,Hybrid,Hybrid,Hybrid,-,"Accomp., Improv.",?,Shared,,4.3
10,Cypher,Rule-based,Multi-agent/Heterogenous,Multi-role,Real-world,Symbolic,Symbolic,Symbolic,Mess.,C,Comp.,,Not shared,,5.1.1
11,Voyager,Rule-based,Multi-agent/Heterogenous,Single-role,Real-world,-,Hybrid,Symbolic,Env.,P,Improv.,,Shared,?,5.1.1
12,Bob,Rule-based,Mono-agent,Single-role,Real-world,Symbolic,Symbolic,Symbolic,Env.,P+L,"Improv.,Melody Gen.",,Not shared,,5.1.1
13,ARHS,Rule-based,Multi-agent/Heterogenous,Single-role,Real-world,-,Audio,Audio,Env.,P,Improv.,,Not shared,?,5.1.1
14,LL,Rule-based,Multi-agent/Heterogenous,Single-role,Real-world,-,Audio,Audio,Env.,P,Improv.,?,Not shared,?,5.1.1
15,Virtualband,Rule-based,Multi-agent/Heterogenous,Multi-role,Real-world,Hybrid,Audio,Audio,Mess.,P+L,"Style Im., Accomp.",,Not shared,?,5.1.1
16,Odessa,Rule-based,Multi-agent/Heterogenous,Single-role,Real-world,-,Audio,Symbolic,Env.,P,Improv.,?,Not shared,?,5.1.1
17,Rhythms as,Rule-based,Multi-agent/Heterogenous,Single-role,Real-world,-,Symbolic,Symbolic,Mess.,-,Rhythm Gen.,,Not shared,,5.1.1
18,VirtuaLatin,Rule-based,Multi-agent/Heterogenous,Multi-role,Real-world,Symbolic,Symbolic,Symbolic,Env.,P,Rhythm Gen.,,Not shared,,5.1.1
19,DrumTrack,Rule-based,Mono-agent,Single-role,Real-world,-,Audio,Audio,Env.,P,"Accomp., Rhythm Gen., Improv.",,Not shared,?,5.1.1
20,BBCut2,Rule-based,Mono-agent,Single-role,Real-world,Audio,Audio,Audio,Env.,P+L,"Accomp., Rhythm",,Shared,,5.1.1
21,Kinetic Engine,Rule-based/EC,Multi-agent/Heterogenous,Multi-role,Real-world,-,Symbolic,Symbolic,Mess.,C,Rhythm Gen.,,Not shared,?,5.1.1
22,Beatbender,Rule-based,Multi-agent/Heterogenous,Single-role,Real-world,-,-,Audio,Mess.,-,Rhythm Gen.,?,Not shared,,5.1.1
23,Andante,Rule-based,Multi-agent/Heterogenous,,Real-world,,-,Audio,Mess.,-,Comp.,,Not shared,,5.1.1
24,PIWeCS,Rule-based,Multi-agent/Heterogenous,Multi-role,Real-world,Audio,Audio,Audio,Hybrid,C,Comp.,,Not shared,,5.1.1
25,CT: Freesound,Rule-based,Multi-agent/Heterogenous,Single-role,Real-world,Hybrid,Audio,Audio,Hybrid,-,Comp.,?,Shared,?,5.1.1
26,Curatorial,Rule-based,Multi-agent/Heterogenous,Multi-role,Real-world,Symbolic,Symbolic,Symbolic,-,-,"Curation,",,Shared,?,5.1.1
27,ParamBOT,Rule-based,Multi-agent/Heterogenous,Multi-role,Real-world,Agents,-,Audio,Mess.,-,"Curation, Comp.",,Shared,?,5.1.1
