Date of collection,Sowing Date,Index,Min,Avg,Max,Std,Var,Days_after_sowing
11-Jun,01-May,red,51.84,170.64,507.51,35.15,1235.27,41
11-Jun,01-May,nir,70.41,582.7,1608.34,214.39,45962.5,41
11-Jun,01-May,ndvi,-0.61,0.52,0.9,0.13,0.02,41
11-Jun,01-May,savi,0.89,2.02,2.04,0.13,0.02,41
11-Jun,01-May,rvi,0.24,3.52,18.97,1.42,2.03,41
11-Jun,01-May,osavi,0.55,1.68,2.06,0.13,0.02,41
11-Jun,01-May,wdrvi,-0.91,-0.2,0.58,0.18,0.03,41
11-Jun,01-May,msavi,-0.12,-0.08,0.4,0.01,0,41
11-Jun,01-May,evi2,-0.71,0.99,201,0.31,0.09,41
11-Jun,15-Apr,red,80.7,191.19,447.14,37.4,1399,57
11-Jun,15-Apr,nir,58.69,430.89,1183,116.55,13584.21,57
11-Jun,15-Apr,ndvi,-0.51,0.37,0.77,0.1,0.01,57
11-Jun,15-Apr,savi,0.99,1.87,2.27,0.1,0.01,57
11-Jun,15-Apr,rvi,0.32,2.31,7.57,0.73,0.53,57
11-Jun,15-Apr,osavi,0.65,1.53,1.93,0.1,0.01,57
11-Jun,15-Apr,wdrvi,-0.88,-0.38,0.2,0.12,0.01,57
11-Jun,15-Apr,msavi,-0.11,-0.06,0.28,0.01,0,57
11-Jun,15-Apr,evi2,-0.62,0.66,1.65,0.23,0.05,57
25-Jun,01-May,red,93.25,5977.81,32647.57,3188.45,10166182.5,55
25-Jun,01-May,nir,1299.3,31475.73,96662.67,10670.37,113856897.2,55
25-Jun,01-May,ndvi,-0.59,0.67,1,0.14,0.02,55
25-Jun,01-May,savi,0.91,2.17,2.5,0.14,0.02,55
25-Jun,01-May,rvi,0.26,5.94,1036.54,2.39,5.7,55
25-Jun,01-May,osavi,0.57,1.83,2.16,0.14,0.02,55
25-Jun,01-May,wdrvi,-0.9,0.04,0.99,0.21,0.05,55
25-Jun,01-May,msavi,-0.12,-0.1,0.36,0.02,0,55
25-Jun,01-May,evi2,-0.7,1.39,2.49,0.35,0.12,55
25-Jun,15-Apr,red,1345.57,8951.1,26090.96,4334.58,18788620.9,71
25-Jun,15-Apr,nir,3565.61,23350.48,65762.19,9498.86,90228416.07,71
25-Jun,15-Apr,ndvi,-0.38,0.44,0.9,0.18,0.03,71
25-Jun,15-Apr,savi,0.12,0.94,1.4,0.18,0.03,71
25-Jun,15-Apr,rvi,0.45,3.05,19.47,1.69,2.86,71
25-Jun,15-Apr,osavi,0.78,1.6,2.06,0.18,0.03,71
25-Jun,15-Apr,wdrvi,-0.84,-0.29,0.59,0.22,0.05,71
25-Jun,15-Apr,msavi,-0.12,0.07,0.16,0.02,0,71
25-Jun,15-Apr,evi2,-0.49,0.82,2.11,0.41,0.17,71
